staus,Partner,Last Created,Partner Total Count,Last Created Count,Not inserted count,Past Events Count,Duplicates,Venue not found,Source File,dropbox path,Frequency,Server,Reason,Path,Api link,status,type,Crawl,check fuzzy not match,check code,
,stubwire,2024-12-28 6:31:06,127,2,,,,,,,Daily,198.61.136.173,,/home/fcampbell/eventPartner/stubwire/insert_event_IE.php,,,,,,,
,tickeri,2026-07-25 4:10:19,826,427,658,,,,/home/fcampbell/eventPartner_174/tickeri/datafeed.json,https://www.dropbox.com/scl/fi/1prcg0pt9qp7ecbto4c2d/tickeri.xlsx?rlkey=un7fdhpzqcl9zbwpnpz5aamnc&st=cl9ie1k7&dl=0,weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/tickeri/insert_events.php,,,feed,no,,,
,ticket_liquidator,2025-05-31 13:25:19,75298,3220,41013,,,,,https://www.dropbox.com/scl/fi/1qiihibj8addlduw3cmrz/ticket_liquidator.xlsx?rlkey=1686s6gr5209rpnovnbh3bcr8&st=p2tq5x9r&dl=0,weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/ticket_liquidator/Insert_event.php,,,feed,,,,
,ticketarena,2022-08-29 22:40:23,2,1,,,,,,,Weekly,44.198.210.209,need to check,/var/www/html/admin/administrator/components/com_events_venue/ticketarena/insertEvents_Ticketarena.php,https://content.ticketarena.co.uk/api/entities/events?limit=2000,,,,,,
,ticketbis,2021-09-19 15:22:01,15,1,,,,,,,Weekly,44.198.210.209,need to check,/var/www/html/admin/administrator/components/com_events_venue/ticketbis/ticketbis.php,http://pf.tradedoubler.com/export/export?myFeed=14302891942500489&myFormat=14302891942500489,,,,,,
,ticketbox-nl,2020-06-01 2:11:14,6169,2,,,,,,,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/ticketbox_nl/insertEvents-ticketbox_nl.php,http://www.theticketbox.com/Concerts-Events,,,,,,
Partner removed from cron as per mail of ozair sir on 13/11/2025,ticketcity,2025-07-25 10:37:04,744,4,0,,,,,https://www.dropbox.com/scl/fi/j4kb0dgyh6geoljl1t64u/ticketcity.xlsx?rlkey=0opaf8oxoega8y5c18tbjlo3u&st=2eo6yci2&dl=0,Daily,3.94.49.56,,/home/fcampbell/eventPartner_174/ticketcity/InsertArtist_Venue_Events.php,,,feed,done,,,
Monthly(Manual) provide by Sudhan,ticketcorner,2026-07-23 8:46:21,892,150,248,,,,/var/www/html/admin/administrator/components/com_events_venue/ticketcorner/csv,https://www.dropbox.com/scl/fi/qy959z3aw8cs5nb82vy9h/ticketcorner.xlsx?rlkey=i5espwfegkm26pwwdxiupzkr9&st=2ir3y7eb&dl=0,Monthly(Manual) provide by Sudhan,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/ticketcorner,,,,,,,
,ticketevolution,2026-07-26 13:30:45,64053,14726,10017,,,,,"slot0- https://www.dropbox.com/scl/fi/aiuk29445h0gru7nhillv/ticketevolution-Slot0.xlsx?rlkey=ono9zhup6re4owvgrlvkxp0hn&st=cdy07y3j&dl=0
slot1- https://www.dropbox.com/scl/fi/i4cyxycfbylukfxw78bwi/ticketevolution-Slot1.xlsx?rlkey=nz0x7zh18a41wtyqhv3l3mkvx&st=vyxxjsxy&dl=0
slot2- https://www.dropbox.com/scl/fi/h56lp0a354q93yvscjh2w/ticketevolution-Slot2.xlsx?rlkey=qsusoz18ht2saaefpm0qbxr0u&st=ajs18c20&dl=0
slot3- https://www.dropbox.com/scl/fi/wwirzvticjlyzk0aczpnd/ticketevolution-Slot3.xlsx?rlkey=1nzte8lpnq1bwojdfafue0xjn&st=vdzh8c4c&dl=0
slot4- https://www.dropbox.com/scl/fi/2i5mf38x908j5amm42zhp/ticketevolution-Slot4.xlsx?rlkey=2927kn4pvzhzfm1mzi0run0j1&st=jwyp6xxh&dl=0",Weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/ticketevolution/insert_events_ticketevolution.php,,,feed,done,,,
,ticketfly,2019-05-18 10:19:59,9,1,,,,,,,Daily,198.61.136.173,,/home/fcampbell/eventPartner/ticketfly/insertEvents-ticketfly.php,,,,,,,
Feed not download,ticketkite,2026-03-12 8:25:23,728,27,0,,,,,https://www.dropbox.com/scl/fi/ghh5v0c51hakset1fhjtt/ticketkite.xlsx?rlkey=wep0v7i6cfk8637sf5riwwixq&st=843czrbz&dl=0,New Partner Need to add in details file,3.94.49.56,,/home/fcampbell/eventPartner_174/ticketkite,,,,no,manualy,,
Feed not available,ticketleap,2026-07-27 0:01:01,177,9,0,,,,,https://www.dropbox.com/scl/fi/ih9vpmp769yk2foo18gxc/ticketleap.xlsx?rlkey=pu5l91lz9a6mzgv54tdz81lkw&st=a0u2d2mb&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/ticketleap/insertEvent_ticketleap.php,,,feed,done,,,
,ticketline,2026-07-28 6:09:27,366,85,134,,,,,https://www.dropbox.com/scl/fi/rtdb2emsjhr83d3i13le2/ticketline.xlsx?rlkey=i1je7vqtvf9qxwk26d65ykh6v&st=vxv2inzo&dl=0,Daily,3.94.49.56,,/home/fcampbell/eventPartner_174/ticketline/insertEvents-ticketline.php,,,feed,no,,,
,ticketmaster-es,2016-06-18 2:41:18,37,2,,,,,,,Alternate weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/Ticketmaster/Spain/ticketmaster-es.php,,,,,,,
,ticketmasterV2,2026-07-29 3:00:16,222637,48510,58064,,,,,"Batch1 - https://www.dropbox.com/scl/fi/435ancdpqi8p6vmvqq18e/ticketmasterV2_batch1.xlsx?rlkey=0uej7w04ikp31qelh3cpp3lji&st=dmxa70os&dl=0
Batch2 - https://www.dropbox.com/scl/fi/pf4ifl0988l8ivoc7wlu2/ticketmasterV2_batch2.xlsx?rlkey=xalz0dgm0h0w2igblvzvpvrqm&st=obgwcams&dl=0",Daily,3.94.49.56,,/home/fcampbell/eventPartner_174/ticketmasterV2/ticketmasterV2.php,,,feed,no,,,"venue missing - 21472
event title missing -36
Expired event - 8642"
,ticketnetwork,2026-07-29 2:58:21,203416,62726,,,,,,,Alternate weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/ticketNetwork/ticketnewtwork.php,,,,,,,
,ticketon,2023-04-11 1:42:49,0,0,,,,,,,weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/ticketon/insertEvents_Ticketon.php,https://content.ticketarena.co.uk/api/entities/events?limit=2000https://www.ticketon.com/wafform.aspx?_act=clientaffiliatesearch&AJAX=1&rss=1&_pky=142516&AffiliateKey=74LFDK,,,,,,
,ticketone-it,2026-07-25 6:31:53,8002,1428,2904,,,,,https://www.dropbox.com/preview/feed_partners/ticketone-it.xlsx?role=personal,Weekly,3.94.49.56,,/home/fcampbell/eventPartner/ticketone-it/insertEvents-ticketone-it.php,,,feed,no,manualy,,
,Ticketonline,2010-02-25 7:08:53,2,2,,,,,,,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/Ticketonline/insertEvents-Ticketonline.php,,,,,,,
Feed not available,ticketor,2025-12-10 22:55:34,1,1,548,,,,/var/www/html/admin/administrator/components/com_events_venue/ticketor/feed.json,https://www.dropbox.com/scl/fi/w9rwt9asqqoouewn2ofvw/ticketor.xlsx?rlkey=o7hrg08f796jrg4na8td00bp6&st=sidhspuc&dl=0,weekly(Manual),44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/ticketor/InsertVenue_Events.php,,,,No (Manual),,,
,ticketpoint_nl,2024-10-21 19:18:17,11,2,,,,,,,Weekly,44.198.210.209,need to check,/var/www/html/admin/administrator/components/com_events_venue/ticketpoint_nl/ticketpoint-InsertEvent.php,,,,,,,
,ticketsdotcom,2018-05-04 9:10:01,3,1,,,,,,,Alternate weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/ticketsdotcom/insertEvents-ticketsdotcom.php,,,,,,,
,ticketsource,2020-07-19 15:13:09,7,1,,,,,,,weekly,44.198.210.209,need to check,/var/www/html/admin/administrator/components/com_events_venue/TicketsourceUK/insertEvents_TicketsourceUk.php,,,,,,,
,ticketswap,2026-07-29 2:24:44,9017,5132,3521,,,,,https://www.dropbox.com/scl/fi/1laomn2aiq3uaf9jmajzf/ticketswap.xlsx?rlkey=p5u6az9awx1uvu1zevo2giqem&st=cyqvyofh&dl=0,Daily,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/ticketswap,,,,no,,,
,tickpick,2026-07-25 3:48:13,34397,7355,13932,,,,,https://www.dropbox.com/scl/fi/0lbtpynr2t52c0y3real2/tickpick.xlsx?rlkey=9seiyt4j2xgh2pjld56gbai9u&st=16p8s0r7&dl=0,weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/tickpick/insert_events.php,,,feed,no,,,
,tickster,2026-07-27 0:57:51,6374,1167,3604,,,,,https://www.dropbox.com/scl/fi/ae126u1op04e7emkzn9zm/tickster.xlsx?rlkey=e27dmwg2jdb3tove60l2ic8x9&st=jy09503p&dl=0,Weekly (cron set),,,/var/www/html/admin/administrator/components/com_events_venue/tickster/insertEvent.php,,,feed,done,,,
,tiqet,2026-07-25 8:29:49,31195,30996,50311,,,,,https://www.dropbox.com/scl/fi/iyh1wttdythrq9apv5ejn/tiqet.xlsx?rlkey=rgq9fsd9xaxskz41i958pda6k&st=qlf5w4w7&dl=0,weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/tiqets/Insert_event.php,,,feed,done,,,
,tixel,2026-07-22 10:08:53,1783,587,431,,,,/var/www/html/admin/administrator/components/com_events_venue/tixel/datafeed_139743.csv,https://www.dropbox.com/scl/fi/t71xi71hd8bxqzukgz69f/tixel.xlsx?rlkey=1n2gn7r4ruei8pdskcudhgiks&st=bqot69jn&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/tixel/insertEvent.php,,,feed,done,,,
,tixr,2026-07-13 0:01:01,73,1,,,,,,,Manual,3.94.49.56,Scrapping not Allowed,/home/fcampbell/eventPartner_174/tixr/InsertEvent.php,,,,,,,
Mannual (Provide by ramesh/sudhan),todaytix,2026-07-15 9:18:50,6180,1289,2469,,,,,https://www.dropbox.com/scl/fi/lk6po4jgu3ax01k940ho3/todaytix.xlsx?rlkey=oksev5r3299cjnrywykdcnyqg&st=3x1xejbp&dl=0,Mannual (Provide by ramesh/sudhan),,,/var/www/html/admin/administrator/components/com_events_venue/todaytix/insertEvent.php,,,feed,No (Manual),,,
,topticketshop-nl,2026-06-18 8:18:18,3121,967,1305,,,,,https://www.dropbox.com/scl/fi/0ashz0u6i4om1k41ggg5e/topticketshop-nl.xlsx?rlkey=39fn70av0joodpjl8oipkmb7c&st=6ue9gif7&dl=0,weekly,44.198.210.209,,/home/fcampbell/eventPartner_174/topticket,,,feed,done,,,
,Trustedtours,2024-01-06 4:56:53,104,104,33,,,,,https://www.dropbox.com/scl/fi/brk1dccgzqg81dujvfa83/trustedTours.xlsx?rlkey=wlszrkyh5br8p4hr6fon77c3k&st=61x68an6&dl=0,yearly,44.198.210.209,url not working 27 feb 2025 - https://trustedtours.net/xml/wcities.xml,/var/www/html/admin/administrator/components/com_events_venue/trustedtours/newpartner.php,,,,,,,
,tunestub,2016-07-09 9:03:43,3,1,,,,,,,Weekly,44.198.210.209,need to check,/var/www/html/admin/administrator/components/com_events_venue/tunestub/insertEvents-tunestub.php,,,,,,,
,universe,2026-07-13 0:01:01,10,1,0,,,,,https://www.dropbox.com/scl/fi/gu3c129m3bg3g7iwwexmw/universe.xlsx?rlkey=c7y15wo0wf2a7vfrnwnw2fuks&st=lyilhh2t&dl=0,manual-onetime,44.198.210.209,API is not working (get 404 error),/var/www/html/admin/administrator/components/com_events_venue/universe/insertEvents_universe.php,https://discover.universe.com/api/v2/discover_events?distance=50&latitude=40.71278370&longitude=-74.00594130&limit=200&page=,,feed,,,,
,Vegas,2026-07-15 8:21:33,12135,2052,4998,,,,,https://www.dropbox.com/scl/fi/7jhawa2m1xgnk6jcuefwe/vegas.xlsx?rlkey=tngx98vfb4d2plyw60gh1ynf1&st=jypm6kpt&dl=0,Monthly(manual),3.94.49.56,,/home/fcampbell/eventPartner_174/vegas/,,,feed,No (Manual),,,
,viagogo,2026-07-29 1:02:38,11030,2748,4729,,,,,https://www.dropbox.com/scl/fi/rvmdhf31q8pw1xguppb4i/viagogo.xlsx?rlkey=21oq3e4ncg3252oaz6ubolt4o&st=w801el5v&dl=0,weekly (manual),3.94.49.56,,/home/fcampbell/eventPartner/viagogo,,,feed,done,,,
,viator,2026-07-02 9:45:50,58442,5188,,,,,,,Manualy,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/viator/,,no upload on dropbox,,no,,,
manual-onetime,vivaticket.it,2024-04-10 9:17:42,2,2,0,,,,,https://www.dropbox.com/scl/fi/4u165xnkkyhl3nxg2zdus/vivaticket.it.xlsx?rlkey=ksvkxfaz1whb0syfwsoh6a2k8&st=8sbwwvd5&dl=0,manual-onetime,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/vivaticket/vivaticket.php,,,scraping,done,,,
,wcities,2026-07-29 0:01:02,733196,4907,,,,,,,New Partner Need to add in details file,,,,,,,,,,
,weezevent,2026-07-27 0:01:01,176,23,306,,,,,https://www.dropbox.com/scl/fi/r9iuj6r33hzizpvbvwnck/weezevent.xlsx?rlkey=66gfgroomurdjn29nxefr44ed&st=8keuu4h5&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/weezevent/insertEvents-weezevent.php,,,feed,no,,,
,wegottickets,2026-07-28 6:08:33,3217,778,2523,,,,,https://www.dropbox.com/scl/fi/ell9gvv60j0hlaygocenv/wegottickets.xlsx?rlkey=u50xyfrurmbaz2okmya0uzw8p&st=14p7vyyo&dl=0,Daily,3.94.49.56,,/home/fcampbell/eventPartner/wegottickets/insertEvents-wegottickets.php,,,feed,no,,,
check process,ATG,2026-07-23 7:36:40,11513,738,20657,,,,,https://www.dropbox.com/scl/fi/v92h4tjp72jpkfzc57xki/ATG_fuzzy_not_match.xlsx?rlkey=g3bkrvsdyst03qboh0wrh6jxc&st=jekrq7k5&dl=0,Weekly,3.94.49.56,,/home/fcampbell/eventPartner/ATG,,,,,,,
running,gigpig,2026-07-25 19:53:55,801,343,8937,,,,,https://www.dropbox.com/scl/fi/z7e2ny5krj1mtbwpw44fx/gigpig.xlsx?rlkey=p8v34k2vroe29dipue16tm6jg&st=jcrpsjjc&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/gicpig,,,feed,done,manualy,,
checking not inserted file,venuepilot,2026-07-23 8:46:25,1309,462,447,,,,,https://www.dropbox.com/scl/fi/ghqbaw06kdxqevsp6me1x/venuepilot.xlsx?rlkey=lffsnyuau1cxila985z5yalu1&st=8fk57lm7&dl=0,Daily (need to se in cron),44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/venuepilot,,,feed,yes,,,
,Vivid,2026-07-29 2:59:57,119386,28305,24937,,,,,https://www.dropbox.com/scl/fi/n2jyh66d4ntif7fqufvex/vivid.xlsx?rlkey=phj75mv72t0f37opm18w6kxk3&st=qfnede7e&dl=0,New Partner Need to add in details file,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/vivid_seat,,,,,manualy,,
,tomaticket,2026-07-25 18:37:20,482,49,710,,,,,https://www.dropbox.com/scl/fi/v50j1vxdxg0fdcklbaybe/tomaticket.xlsx?rlkey=iasre9z7dgosl7fysxl5t74j4&st=9en1efxs&dl=0,Weekly,3.94.49.56,,/home/fcampbell/eventPartner/tomaticket,,,,No,,,
,BW sracping,2025-07-14 7:46:44,1,1,,,,,,,,,,,,,,,,,
,gofan,2026-07-29 0:36:14,10722,10315,698,,,,,https://www.dropbox.com/scl/fi/y2wuz1graatslfn4j3tl2/Event_notinsert_Fuzzy_and_Not_Match.xls?rlkey=qagu2k559vj7gr2o1ueivkrba&st=7lk2pug5&dl=0,Daily,3.94.49.56,,/home/fcampbell/eventPartner_174/gofan,,,feed,yes,,,
Partner removed as per mail - Fwd: Stop this partner ASAP and delete all their events. 30-03-2026,hellotickets,2026-04-21 3:49:33,12987,154,15461,,,,,https://www.dropbox.com/home/feed_partners?preview=notinsert_events_hellotickets.xlsx,Weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/hellotickets,,,feed,yes,cron set,,
,allevents,2026-07-25 18:18:05,537,270,28775,,,,,https://www.dropbox.com/scl/fi/v6f5v7is12yyznlois24u/allevents_fuzzy_and_not_match.xls?rlkey=nds9e5hpq4jybmcyle8b4zk8f&st=yolbuwj2&dl=0,Weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/allevents,,,feed,No,cron set,,
,ticketnetwork,2026-07-29 2:58:21,203416,62726,35692,,,,,https://www.dropbox.com/scl/fi/7mi2ssi0jsdr8ghp3mv4b/ticketnetwork.xlsx?rlkey=avjd3ghwkclrhtut2z4od6pah&st=p5bj4jai&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/ticketNetwork,,,,,,,
,stager,2026-07-28 22:36:13,2811,482,334,,,,/var/www/html/admin/administrator/components/com_events_venue/stager,https://www.dropbox.com/scl/fi/pjn1odpkorxgv3ki0baai/stager_fuzzy_not_match.xlsx?rlkey=2nkf74ktqdutqcw0y6hwz28vq&st=rfmexqur&dl=0,Daily,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/stager,,,feed,No,,,
,jumpcomedy,2026-07-24 20:38:50,144,110,284,,,,/var/www/html/admin/administrator/components/com_events_venue/jumpcomedy,https://www.dropbox.com/scl/fi/je9du7wprcyfnhhcqt1oo/jumpcomedy_fuzzy_not_match.xlsx?rlkey=ekfspoqfwu6ys7dvvaaxmvf7n&st=z5pr1kc0&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/jumpcomedy,,,feed,,,,
,musicfestivalwizard,2026-07-28 8:07:49,622,124,653,,,,/home/fcampbell/eventPartner_174/musicfestivalwizard,https://www.dropbox.com/scl/fi/8f7zduj3enwy2m9d38r4h/musicfestivalwizard_fuzzy_not_match.xls?rlkey=88npnq1widbng4ccyixa6082n&st=uoq1ibke&dl=0,Weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/musicfestivalwizard,,,scraping,,,,
,ticombo,2026-07-23 10:27:41,6264,3146,2592,,,,,https://www.dropbox.com/scl/fi/fgl4gyxhqgjl2qyz0ru6g/ticombo_fuzzy_not_match.xlsx?rlkey=ehv3t05s8gw5kmhdtsea6a00q&st=rf8jzfne&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/ticombo,,,,,,,
,speakeasy,2026-07-23 7:44:54,846,227,1048,,,,/var/www/html/admin/administrator/components/com_events_venue/speakeasy,https://www.dropbox.com/scl/fi/o9dnf9d9p40grp3nkxs9x/speakeasy_fuzzy_not_match.xlsx?rlkey=1brgyyfguakfsofm7gfpbm3s0&st=w86xd38w&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/speakeasy,,,,,,,
,ticketek,2026-07-24 10:13:31,645,154,274,,,,,https://www.dropbox.com/scl/fo/pz2a8u4vik5r74iptz2zr/h/ticketek_fuzzy_not_match.xlsx?rlkey=rul7o24u6xcmfln7hweeteam1&st=sw0spzf4&dl=0,Manualy,44.198.210.209,,/home/fcampbell/nikhil/ticketek_events_onetime/Insert_Event_Venue.php,,,scraping,,,,
,gametime,2026-07-25 6:14:43,52639,12780,18530,,,,/var/www/html/admin/administrator/components/com_events_venue/gametime/Gametime-All-Shows_CUSTOM_feed.csv,https://www.dropbox.com/scl/fi/849y850gvsrr8pg7spsne/gametime.xlsx?rlkey=9aznnmlq427749tbad16td9vv&st=sd8uu7w5&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/gametime,,,feed,,,,
,oztix,2026-07-26 22:23:02,1642,539,1991,,,,/var/www/html/admin/administrator/components/com_events_venue/oztix/oztix_events_feed.csv,https://www.dropbox.com/scl/fi/47nhpld669a5boedir4iy/oztix_fuzzy_not_match.xlsx?rlkey=vpvusevepvzxu8r3gp104q9jt&st=sl46ge5n&dl=0,Alternate Day,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/oztix,,,feed,,,,
,p1travel,2026-07-24 22:17:46,890,642,578,,,,/var/www/html/admin/administrator/components/com_events_venue/p1travel/p1travel.csv,https://www.dropbox.com/scl/fi/99gibymgj1qxbfbho7d9a/p1travel.xlsx?rlkey=lo5l7p763k1e8djscbhdksl1v&st=gxcsjm46&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/p1travel/,,,,,,,
No New Events in the feed,thesportsdb,2026-06-10 13:03:08,775,1,718,,,,/var/www/html/admin/administrator/components/com_events_venue/thesportsdb,https://www.dropbox.com/scl/fi/880hvwsrzf7poav4ix9ol/thesportsdb_fuzzy_not_match.xlsx?rlkey=rmnu4kog77k5zwhjethxs8fu2&st=38mt274z&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/thesportsdb,,,,,,,
,bokun,2026-07-24 9:45:24,2013,1531,6492,,,,/var/www/html/admin/administrator/components/com_events_venue/bokun,https://www.dropbox.com/scl/fi/bb7eql98rmiukkqspl2ms/bokun.xlsx?rlkey=m6ixois4vi84f5nwlasb4fvf7&st=1ub8vya1&dl=0,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/bokun,,,,,,,
,runsignup,2026-07-25 13:39:40,2073,687,13365,,,,,https://www.dropbox.com/scl/fi/acosxgxw0xnkgbqjijk7p/runsignup.xlsx?rlkey=fzme1y1ep0ojhhep8yr968ma3&st=fjgw366h&dl=0,,,,,,,,,,,
,bikereg,2026-07-15 15:25:01,155,28,543,,,,,https://www.dropbox.com/scl/fi/e7m9un7kkxq0d28xjig36/bikereg.xlsx?rlkey=9a0g5hdyjsl9zhtsdxqtcv0h4&st=9odzrzqz&dl=0,,,,,,,,,,,
,vivaticket,2026-06-24 15:45:12,4030,1069,2286,,,,,https://www.dropbox.com/scl/fi/yd22pom4xlrurmftf03l3/vivaticket.xlsx?rlkey=19ayz9lha9kebfvkxaundpi1c&st=aeqgab02&dl=0,,,,,,,,,,,
,ahotu,2026-07-14 2:46:59,295,3,689,,,,/var/www/html/admin/administrator/components/com_events_venue/ahotu,https://www.dropbox.com/scl/fi/nlzqsryte40ddf10haqpg/AI_ahotu_fuzzy_not_match.xlsx?rlkey=t3mz7lj391tnv3pr125g8l35o&st=ht48zou6&dl=0,weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/ahotu,,,,,,,
No New Events in the feed,resortpass,2026-06-24 4:10:03,1339,3,822,,,,/home/fcampbell/eventPartner/resortpass,https://www.dropbox.com/scl/fi/mh6z7p2mh38qdb1ga8nc6/AI_resortpass_fuzzy_not_match.xls?rlkey=ltxnzvckhgi251ky4pnf861vb&st=20nf5k9w&dl=0,weekly,3.94.49.56,/home/fcampbell/eventPartner/resortpass,,,,,,,,
,cobber,2026-07-29 1:43:36,8978,8978,11,,,,/var/www/html/admin/administrator/components/com_events_venue/cobber,https://www.dropbox.com/scl/fi/su9za73m6co1o695ya117/AI-cobber_products_fuzzy_not_match.xlsx?rlkey=66w1tj2j6ymjd2wv5ysc1ilcv&st=lpuxw97l&dl=0,,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/cobber,,,,,,,
