staus,Partner,Last Created,Partner Total Count,Last Created Count,Not inserted count,Past Events Count,Duplicates,Venue not found,Source File,dropbox path,Frequency,Server,Reason,Path,Api link,status,type,Crawl,check fuzzy not match,check code,
,eventbrite,2026-07-28 5:43:44,33720,21377,"EB catalog - 40179
EB catalog - 7",,,,/var/www/html/admin/administrator/components/com_events_venue/eventbrite/eventbrite.php,"EB catalog - https://www.dropbox.com/scl/fi/jol91nzjsdtk2imxpc6x8/EB_Catalog_not_inserted.xlsx?rlkey=kv1pf43awqyk7rb48p9qm3t8y&st=9zthj2kz&dl=0
EB newsletter - https://www.dropbox.com/home/Events-Report/scraping_partners/eventbrite_newsletter",Weekly,44.198.210.209,,"/var/www/html/admin/administrator/components/com_events_venue/eventbrite/
Eventbrite catlog - 
1. /var/www/html/admin/administrator/components/com_events_venue/eventbrite/eventbrite_org/ai_venue_matching_evenbrite_new.php
2. /var/www/html/admin/administrator/components/com_events_venue/eventbrite/eventbrite_org/eventbrite_online_feed_US_v2_onetime.php
",,no upload on dropbox,,done,,,
,eventim,2023-08-17 5:22:15,208,3,,,,,,,Daily,3.94.49.56,,/home/fcampbell/eventPartner_174/eventim/insertEvents-eventim.php,,,,,,,
,eventim-ch,2021-02-27 22:09:12,26,1,,,,,,,weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/eventim-ch/eventIn.php,,,,,,,
,eventim-hr,2014-09-06 18:33:27,1,1,,,,,,,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/eventim-hr/insertEvents_eventim-hr.php,,,,,,,
,eventim-si,2014-09-06 15:33:00,1,1,,,,,,,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/eventim-si/insertEvent.php,,,,,,,
,eventim-uk,2020-06-30 1:57:08,3,1,,,,,,,Daily,3.94.49.56,,/home/fcampbell/eventPartner_174/eventim-uk/insertEvents-eventim-uk.php,,,,,,,
,eventseeker-ugc,2026-07-27 0:01:01,164,17,,,,,,,New Partner Need to add in details file,,,,,,,no,,,
,eventsgrabber,2012-02-24 20:00:01,1,1,,,,,,,New Partner Need to add in details file,,,,,,,,,,
,evvnt,2024-09-23 0:01:01,13,1,,,,,,,Weekly,198.61.136.173,,/home/fcampbell/eventPartner/evvnt/insert_event_evvnt.php,Partner has stopped providing data,,,,,,
,facebook,2024-06-25 0:01:02,13,1,,,,,,,Alternate weekly,3.94.49.56,,/home/fcampbell/eventPartner_174/facebook/scrape_facebook_events.php,,,,,,,
,fareharbor,2026-06-25 8:42:54,90390,993,10833,,,,/home/fcampbell/faizan/fareharbor/Event_process/Re_insert/InsertEvents_FareHarbor.php,https://www.dropbox.com/scl/fo/mb4adnk5nk4nae42f694e/AP_TCIYbVlE0dld8MKtczy4?rlkey=ub5ua47z206qien4veoz3qgeb&st=sqyg2hto&dl=0,weekly(Manual),44.198.210.209,,,,no upload on dropbox,,No (Manual),,,
,fever,2026-07-28 13:10:58,994997,362172,1048576,,,,/home/fcampbell/eventPartner/fever/Fever-All-Shows_CUSTOM.csv,https://www.dropbox.com/scl/fi/ybqf2p8xtwtw0376vr1t7/fever.xlsx?rlkey=77lkg92di5dqvp3w3tq7e67h8&st=w8ez95ro&dl=0,weekly,3.94.49.56,,/home/fcampbell/eventPartner/fever/insert_events.php,,,feed,no,,,
,fnac,2026-07-28 6:53:22,67811,19607,17364,,,,/home/fcampbell/eventPartner/fnac/datafeed_139743.csv,https://www.dropbox.com/scl/fi/vaxn2plsp7n2b0lvbm5m3/fnac.xlsx?rlkey=nuzm22r6s813520y0rfchumf6&st=sg9c2ank&dl=0,Daily,3.94.49.56,,/home/fcampbell/eventPartner/fnac/InsertEvent.php,,,feed,no,,,
,getmein,2018-04-21 2:09:20,8,2,,,,,,,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/getmein/new_getmein.php,,,,,,,
,gigantic,2026-07-28 6:32:03,3662,500,2716,,,,/home/fcampbell/eventPartner/gigantic/gigantic.xml,https://www.dropbox.com/scl/fi/uiimb0s6zc5ubz21k3om5/gigantic.xlsx?rlkey=f8zkuiqmw5gbrzhaq8am218dv&st=7u33em3z&dl=0,Daily,3.94.49.56,,/home/fcampbell/eventPartner/gigantic/insertEvents-gigantic.php,,,feed,no,,,
,goldstar,2023-09-16 6:19:49,4,2,,,,,,,Weekly,44.198.210.209,,/var/www/html/admin/administrator/components/com_events_venue/goldstar/insertEvents-goldstar.php,,,,,,,
